id,y
VGSH,60.419445
JEF,20.507732
IVZ,17.017427
KTCC,5.5530434
FBZ,14.633278
PLOW,52.010136
JBK,28.80051
IAC,223.29805
IVR,13.929863
VSH,18.783722
VCV,12.449973
OKE,70.97281
ROK,195.46718
FTAG,23.236868
BRKR,49.87544
GSK,43.46948
JPS,9.814411
SRPT,106.90318
VMI,139.22377
IMKTA,42.061733
BDR,0.64154124
JAKK,0.8971568
MVC,8.972071
AMSF,65.18298
APTO,2.4983745
CNX,7.596657
XOMA,23.950855
LBY,1.5687143
BIOL,0.6030983
PAAS,18.440887
KOF,58.09047
LAC,2.860061
EML,27.03519
IVC,9.319562
TILE,16.769665
IEF,111.78339
CSV,23.507534
QADA,48.285282
TBNK,30.177778
HOG,35.74138
WIW,10.9375
SVBI,8.704926
PKOH,31.949572
CREG,0.35497123
LOGM,76.73676
ERII,8.678192
PEBO,32.33144
PEER,1.548043
ORA,76.829315
RIO,51.274036
BPOPM,25.950392
PDLI,3.0164607
RYN,29.894836
UNAM,6.410383
PFD,15.754418
CALX,7.5856943
SNSS,0.50819707
TCF,41.192776
MTRX,19.689947
AVGO,307.37756
MSM,69.8668
REV,23.442774
HSY,147.03098
PEP,132.65033
REED,0.7983258
HPQ,19.509243
BKTI,3.0164607
MPB,26.986736
AAON,48.36497
PSO,8.151183
CIG,2.9985096
NAC,14.625374
OPNT,13.968678
RE,265.20456
SES,5.828942
RTN,215.20699
WST,146.91846
HIHO,1.9229766
FLC,22.06714
EFT,12.927395
DCI,54.159576
IIF,19.549885
BANC,15.030187
CRS,51.41692
GAIN,13.595232
UHT,111.83507
TMO,307.55267
MFNC,15.716771
TEX,27.922014
LTBR,4.4296656
QGEN,41.657955
EVV,12.449973
BBY,71.438484
MRKR,2.860061
CSQ,12.948446
KBAL,20.916306
QRHC,2.4541755
ANIP,57.771355
FMBH,34.525734
HFBL,37.563053
PSCH,122.10114
SVT,10.449058
NATI,41.92874
ADMP,1.3568734
CIT,44.80829
HEAR,8.262703
NC,47.59426
USAP,14.202032
IBIO,0.315285
ACAD,47.153316
CP,233.22531
SVVC,6.2022915
VONE,141.50577
FUN,53.67132
KT,11.421822
AIRI,1.3568734
NXTG,52.43675
EMX,1.3568734
TGC,0.64154124
SXI,75.00512
AGNC,16.769665
IMMU,18.583094
KSS,45.03639
PRA,36.772434
ROLL,162.13705
INTG,34.491753
VTA,10.848224
KRC,79.983864
NATH,75.54471
OTTR,48.743744
VIAV,15.059706
ICLR,155.98267
FOSL,7.1715765
INCY,88.78545
MIDD,114.83881
CZNC,26.309944
IRCP,11.880715
EVF,6.1354337
SUI,156.4479
IGC,0.7983258
UAVS,0.64154124
UUU,0.64154124
USLM,88.124275
TRC,16.08046
EVT,24.336496
ARAY,2.860061
CIX,14.988243
ENB,36.68222
USIG,57.508217
PRAA,36.51145
MTEM,9.799804
SYX,20.997774
AMRS,3.5589259
GME,5.5530434
IPAR,67.27061
GJS,20.497013
ESBK,14.3789425
